file,flag,reasons,freq,pol,n_pulses,n_range,eigen_contrast_max_db,eigen_contrast_mean_db,f_factor_max,pulse_energy_mad,zero_frac
synthetic_l0_0453.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.72,0.723,5.97,0.0
synthetic_l0_0454.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.7,0.233,4.07,0.0
synthetic_l0_0455.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.84,3.61,0.849,3.78,0.0
synthetic_l0_0456.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.36,3.72,0.814,4.1,0.0
synthetic_l0_0457.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.67,0.482,5.19,0.0
synthetic_l0_0458.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.72,0.417,3.22,0.0
synthetic_l0_0459.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.72,0.411,3.92,0.0
synthetic_l0_0460.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.68,0.51,4.55,0.0
synthetic_l0_0461.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.89,3.62,0.461,4.3,0.0
synthetic_l0_0462.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.73,0.637,4.04,0.0
synthetic_l0_0463.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.16,3.75,0.557,3.7,0.0
synthetic_l0_0464.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.74,0.385,3.85,0.0
synthetic_l0_0465.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.76,0.479,3.49,0.0
synthetic_l0_0466.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.92,3.71,0.282,3.99,0.0
synthetic_l0_0467.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.3,3.79,1.868,4.29,0.0
synthetic_l0_0468.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.78,0.404,3.68,0.0
synthetic_l0_0469.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.7,0.331,4.59,0.0
synthetic_l0_0470.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.82,3.65,0.409,3.57,0.0
synthetic_l0_0471.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.83,3.64,0.311,3.75,0.0
synthetic_l0_0472.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.72,0.279,2.85,0.0
synthetic_l0_0473.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.74,0.561,3.33,0.0
synthetic_l0_0474.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.86,3.59,0.319,4.21,0.0
synthetic_l0_0475.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.93,3.68,0.328,3.83,0.0
synthetic_l0_0476.h5,REVIEW,pulse energy MAD 6.6 (>= 6.0),frequencyA,HH,3200,256,4.03,3.78,0.5,6.57,0.0
synthetic_l0_0477.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.64,0.557,3.85,0.0
synthetic_l0_0478.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.79,0.318,3.42,0.0
synthetic_l0_0479.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.75,0.587,3.41,0.0
synthetic_l0_0480.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.73,0.507,3.87,0.0
synthetic_l0_0481.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.74,0.397,3.43,0.0
synthetic_l0_0482.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.72,0.981,3.58,0.0
synthetic_l0_0483.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.8,3.69,0.273,4.45,0.0
synthetic_l0_0484.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.85,3.67,0.272,4.23,0.0
synthetic_l0_0485.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.69,0.541,4.24,0.0
synthetic_l0_0486.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.87,3.67,0.293,3.98,0.0
synthetic_l0_0487.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.75,0.376,4.25,0.0
synthetic_l0_0488.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.75,0.577,3.93,0.0
synthetic_l0_0489.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.73,0.447,3.39,0.0
synthetic_l0_0490.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.71,1.027,3.58,0.0
synthetic_l0_0491.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.66,0.801,4.6,0.0
synthetic_l0_0492.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.7,0.418,2.81,0.0
synthetic_l0_0493.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.72,0.334,4.79,0.0
synthetic_l0_0494.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.74,0.735,3.23,0.0
synthetic_l0_0495.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.75,0.302,3.38,0.0
synthetic_l0_0496.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.76,0.419,3.32,0.0
synthetic_l0_0497.h5,REVIEW,pulse energy MAD 8.1 (>= 6.0),frequencyA,HH,3200,256,4.27,3.78,0.394,8.09,0.0
synthetic_l0_0498.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.23,3.82,0.674,3.28,0.0
synthetic_l0_0499.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.66,0.677,4.63,0.0
